,precision,recall,f1-score,support
Refund_not_showing_up,0.9487179487179487,0.925,0.9367088607594937,40.0
activate_my_card,1.0,0.95,0.9743589743589743,40.0
age_limit,0.9523809523809523,1.0,0.975609756097561,40.0
apple_pay_or_google_pay,1.0,1.0,1.0,40.0
atm_support,0.925,0.925,0.925,40.0
automatic_top_up,0.95,0.95,0.95,40.0
balance_not_updated_after_bank_transfer,0.7560975609756098,0.775,0.7654320987654321,40.0
balance_not_updated_after_cheque_or_cash_deposit,0.9047619047619048,0.95,0.926829268292683,40.0
beneficiary_not_allowed,0.9736842105263158,0.925,0.9487179487179487,40.0
cancel_transfer,1.0,0.95,0.9743589743589743,40.0
card_about_to_expire,1.0,1.0,1.0,40.0
card_acceptance,0.8974358974358975,0.875,0.8860759493670886,40.0
card_arrival,0.8974358974358975,0.875,0.8860759493670886,40.0
card_delivery_estimate,0.85,0.85,0.85,40.0
card_linking,0.9285714285714286,0.975,0.9512195121951219,40.0
card_not_working,0.8409090909090909,0.925,0.8809523809523809,40.0
card_payment_fee_charged,0.9,0.9,0.9,40.0
card_payment_not_recognised,0.8461538461538461,0.825,0.8354430379746836,40.0
card_payment_wrong_exchange_rate,0.8636363636363636,0.95,0.9047619047619048,40.0
card_swallowed,0.972972972972973,0.9,0.935064935064935,40.0
cash_withdrawal_charge,0.9230769230769231,0.9,0.9113924050632911,40.0
cash_withdrawal_not_recognised,0.8837209302325582,0.95,0.9156626506024096,40.0
change_pin,0.9722222222222222,0.875,0.9210526315789473,40.0
compromised_card,0.8222222222222222,0.925,0.8705882352941177,40.0
contactless_not_working,1.0,0.925,0.961038961038961,40.0
country_support,0.8666666666666667,0.975,0.9176470588235294,40.0
declined_card_payment,0.9210526315789473,0.875,0.8974358974358975,40.0
declined_cash_withdrawal,0.8636363636363636,0.95,0.9047619047619048,40.0
declined_transfer,0.9166666666666666,0.825,0.868421052631579,40.0
direct_debit_payment_not_recognised,0.918918918918919,0.85,0.8831168831168831,40.0
disposable_card_limits,0.8947368421052632,0.85,0.8717948717948718,40.0
edit_personal_details,0.975609756097561,1.0,0.9876543209876543,40.0
exchange_charge,0.782608695652174,0.9,0.8372093023255814,40.0
exchange_rate,0.9285714285714286,0.975,0.9512195121951219,40.0
exchange_via_app,0.918918918918919,0.85,0.8831168831168831,40.0
extra_charge_on_statement,0.9459459459459459,0.875,0.9090909090909091,40.0
failed_transfer,0.7608695652173914,0.875,0.813953488372093,40.0
fiat_currency_support,0.9393939393939394,0.775,0.8493150684931506,40.0
get_disposable_virtual_card,0.8048780487804879,0.825,0.8148148148148148,40.0
get_physical_card,0.8666666666666667,0.975,0.9176470588235294,40.0
getting_spare_card,0.9210526315789473,0.875,0.8974358974358975,40.0
getting_virtual_card,0.7959183673469388,0.975,0.8764044943820225,40.0
lost_or_stolen_card,0.8292682926829268,0.85,0.8395061728395061,40.0
lost_or_stolen_phone,1.0,0.95,0.9743589743589743,40.0
order_physical_card,0.9,0.9,0.9,40.0
passcode_forgotten,1.0,1.0,1.0,40.0
pending_card_payment,0.8571428571428571,0.9,0.8780487804878049,40.0
pending_cash_withdrawal,0.918918918918919,0.85,0.8831168831168831,40.0
pending_top_up,0.8333333333333334,0.875,0.8536585365853658,40.0
pending_transfer,0.8333333333333334,0.75,0.7894736842105263,40.0
pin_blocked,0.918918918918919,0.85,0.8831168831168831,40.0
receiving_money,0.975,0.975,0.975,40.0
request_refund,0.9024390243902439,0.925,0.9135802469135802,40.0
reverted_card_payment?,0.8780487804878049,0.9,0.8888888888888888,40.0
supported_cards_and_currencies,0.9090909090909091,1.0,0.9523809523809523,40.0
terminate_account,0.9523809523809523,1.0,0.975609756097561,40.0
top_up_by_bank_transfer_charge,0.9411764705882353,0.8,0.8648648648648649,40.0
top_up_by_card_charge,0.925,0.925,0.925,40.0
top_up_by_cash_or_cheque,0.9487179487179487,0.925,0.9367088607594937,40.0
top_up_failed,0.7727272727272727,0.85,0.8095238095238095,40.0
top_up_limits,0.9069767441860465,0.975,0.9397590361445783,40.0
top_up_reverted,0.9166666666666666,0.825,0.868421052631579,40.0
topping_up_by_card,0.868421052631579,0.825,0.8461538461538461,40.0
transaction_charged_twice,0.9090909090909091,1.0,0.9523809523809523,40.0
transfer_fee_charged,0.8809523809523809,0.925,0.9024390243902439,40.0
transfer_into_account,0.8292682926829268,0.85,0.8395061728395061,40.0
transfer_not_received_by_recipient,0.85,0.85,0.85,40.0
transfer_timing,0.8717948717948718,0.85,0.8607594936708861,40.0
unable_to_verify_identity,0.8095238095238095,0.85,0.8292682926829268,40.0
verify_my_identity,0.7857142857142857,0.825,0.8048780487804879,40.0
verify_source_of_funds,0.9302325581395349,1.0,0.963855421686747,40.0
verify_top_up,0.9523809523809523,1.0,0.975609756097561,40.0
virtual_card_not_working,0.9629629629629629,0.65,0.7761194029850746,40.0
visa_or_mastercard,0.925,0.925,0.925,40.0
why_verify_identity,0.8055555555555556,0.725,0.7631578947368421,40.0
wrong_amount_of_cash_received,1.0,0.875,0.9333333333333333,40.0
wrong_exchange_rate_for_cash_withdrawal,0.8918918918918919,0.825,0.8571428571428571,40.0
accuracy,0.8990259740259741,0.8990259740259741,0.8990259740259741,0.8990259740259741
macro avg,0.90159795289433,0.899025974025974,0.8986753991300886,3080.0
weighted avg,0.9015979528943301,0.8990259740259741,0.8986753991300889,3080.0
