,precision,recall,f1-score,support
Refund_not_showing_up,0.926829268292683,0.95,0.9382716049382716,40.0
activate_my_card,0.9743589743589743,0.95,0.9620253164556962,40.0
age_limit,0.9523809523809523,1.0,0.975609756097561,40.0
apple_pay_or_google_pay,1.0,0.975,0.9873417721518988,40.0
atm_support,0.875,0.875,0.875,40.0
automatic_top_up,0.9743589743589743,0.95,0.9620253164556962,40.0
balance_not_updated_after_bank_transfer,0.6511627906976745,0.7,0.6746987951807228,40.0
balance_not_updated_after_cheque_or_cash_deposit,0.8604651162790697,0.925,0.891566265060241,40.0
beneficiary_not_allowed,0.9487179487179487,0.925,0.9367088607594937,40.0
cancel_transfer,0.926829268292683,0.95,0.9382716049382716,40.0
card_about_to_expire,0.975,0.975,0.975,40.0
card_acceptance,0.875,0.7,0.7777777777777778,40.0
card_arrival,0.8717948717948718,0.85,0.8607594936708861,40.0
card_delivery_estimate,0.8333333333333334,0.875,0.8536585365853658,40.0
card_linking,0.9512195121951219,0.975,0.9629629629629629,40.0
card_not_working,0.7083333333333334,0.85,0.7727272727272727,40.0
card_payment_fee_charged,0.875,0.875,0.875,40.0
card_payment_not_recognised,0.8857142857142857,0.775,0.8266666666666667,40.0
card_payment_wrong_exchange_rate,0.8809523809523809,0.925,0.9024390243902439,40.0
card_swallowed,0.972972972972973,0.9,0.935064935064935,40.0
cash_withdrawal_charge,0.9473684210526315,0.9,0.9230769230769231,40.0
cash_withdrawal_not_recognised,0.8571428571428571,0.9,0.8780487804878049,40.0
change_pin,0.9736842105263158,0.925,0.9487179487179487,40.0
compromised_card,0.875,0.875,0.875,40.0
contactless_not_working,1.0,0.9,0.9473684210526315,40.0
country_support,0.8809523809523809,0.925,0.9024390243902439,40.0
declined_card_payment,0.782608695652174,0.9,0.8372093023255814,40.0
declined_cash_withdrawal,0.875,0.875,0.875,40.0
declined_transfer,0.9705882352941176,0.825,0.8918918918918919,40.0
direct_debit_payment_not_recognised,0.9210526315789473,0.875,0.8974358974358975,40.0
disposable_card_limits,0.9428571428571428,0.825,0.88,40.0
edit_personal_details,0.975609756097561,1.0,0.9876543209876543,40.0
exchange_charge,0.85,0.85,0.85,40.0
exchange_rate,0.8863636363636364,0.975,0.9285714285714286,40.0
exchange_via_app,0.8181818181818182,0.9,0.8571428571428571,40.0
extra_charge_on_statement,0.825,0.825,0.825,40.0
failed_transfer,0.75,0.825,0.7857142857142857,40.0
fiat_currency_support,0.9090909090909091,0.75,0.821917808219178,40.0
get_disposable_virtual_card,0.9210526315789473,0.875,0.8974358974358975,40.0
get_physical_card,0.8181818181818182,0.9,0.8571428571428571,40.0
getting_spare_card,0.925,0.925,0.925,40.0
getting_virtual_card,0.76,0.95,0.8444444444444444,40.0
lost_or_stolen_card,0.813953488372093,0.875,0.8433734939759037,40.0
lost_or_stolen_phone,1.0,0.975,0.9873417721518988,40.0
order_physical_card,0.8648648648648649,0.8,0.8311688311688312,40.0
passcode_forgotten,1.0,1.0,1.0,40.0
pending_card_payment,0.8372093023255814,0.9,0.8674698795180723,40.0
pending_cash_withdrawal,0.972972972972973,0.9,0.935064935064935,40.0
pending_top_up,0.9142857142857143,0.8,0.8533333333333334,40.0
pending_transfer,0.7428571428571429,0.65,0.6933333333333334,40.0
pin_blocked,0.918918918918919,0.85,0.8831168831168831,40.0
receiving_money,0.975,0.975,0.975,40.0
request_refund,0.9722222222222222,0.875,0.9210526315789473,40.0
reverted_card_payment?,0.8604651162790697,0.925,0.891566265060241,40.0
supported_cards_and_currencies,0.78,0.975,0.8666666666666667,40.0
terminate_account,0.9523809523809523,1.0,0.975609756097561,40.0
top_up_by_bank_transfer_charge,0.9090909090909091,0.75,0.821917808219178,40.0
top_up_by_card_charge,0.9047619047619048,0.95,0.926829268292683,40.0
top_up_by_cash_or_cheque,0.8648648648648649,0.8,0.8311688311688312,40.0
top_up_failed,0.7209302325581395,0.775,0.7469879518072289,40.0
top_up_limits,0.8863636363636364,0.975,0.9285714285714286,40.0
top_up_reverted,0.8048780487804879,0.825,0.8148148148148148,40.0
topping_up_by_card,0.8378378378378378,0.775,0.8051948051948052,40.0
transaction_charged_twice,0.9090909090909091,1.0,0.9523809523809523,40.0
transfer_fee_charged,0.7727272727272727,0.85,0.8095238095238095,40.0
transfer_into_account,0.8780487804878049,0.9,0.8888888888888888,40.0
transfer_not_received_by_recipient,0.6956521739130435,0.8,0.7441860465116279,40.0
transfer_timing,0.8461538461538461,0.825,0.8354430379746836,40.0
unable_to_verify_identity,0.85,0.85,0.85,40.0
verify_my_identity,0.7380952380952381,0.775,0.7560975609756098,40.0
verify_source_of_funds,0.9523809523809523,1.0,0.975609756097561,40.0
verify_top_up,0.975609756097561,1.0,0.9876543209876543,40.0
virtual_card_not_working,1.0,0.75,0.8571428571428571,40.0
visa_or_mastercard,1.0,0.925,0.961038961038961,40.0
why_verify_identity,0.8421052631578947,0.8,0.8205128205128205,40.0
wrong_amount_of_cash_received,0.9,0.9,0.9,40.0
wrong_exchange_rate_for_cash_withdrawal,0.8787878787878788,0.725,0.7945205479452054,40.0
accuracy,0.8811688311688312,0.8811688311688312,0.8811688311688312,0.8811688311688312
macro avg,0.8851515497254056,0.881168831168831,0.881199614286204,3080.0
weighted avg,0.8851515497254056,0.8811688311688312,0.8811996142862036,3080.0
