budget,model,accuracy,accuracy_std,macro_f1,macro_f1_std,fit_seconds,runs
10,word,0.6718614718614718,0.008720016051291647,0.6661756489055942,0.009283617986968954,0.07028152866769233,3
10,char,0.7202380952380952,0.009785249632048262,0.714418642625129,0.010737721658172494,0.17922916299964223,3
10,combined,0.7304112554112554,0.00791524437369112,0.7251677504356864,0.008302315559098583,0.23437315366694142,3
30,word,0.8051948051948052,0.0036154314044350108,0.8033176690577086,0.0032645786491924127,0.18067165166636792,3
30,char,0.8353896103896105,0.0027740271900382188,0.8337923441655338,0.0028085367694489507,0.5070108996660565,3
30,combined,0.8458874458874459,0.0035910519530383393,0.8444403364628629,0.003670984104441648,0.6505870159999176,3
60,word,0.8573593073593074,0.005598492275488097,0.8566354355236226,0.00573969540353446,0.38510937899991404,3
60,char,0.8798701298701298,0.002885777408219387,0.8793199897025127,0.0030390656408638534,0.9417251909999322,3
60,combined,0.8875541125541125,0.0019024237912604477,0.8871152128186219,0.002118671392048467,1.2569808363332413,3
pool,word,0.8811688311688312,,0.881199614286204,,0.7689896589999989,1
pool,char,0.8990259740259741,,0.8986753991300886,,1.881108645000495,1
pool,combined,0.9090909090909091,,0.9091742811554513,,2.4341040200015414,1
